#Date,yesterday news positivity, yesterday news negativity,stock change
2008-08-08,9.1867251829,13.9849347034,2
2008-08-11,8.6725186362,8.9733046833,1
2008-08-12,7.0652388971,7.96425876,-1
2008-08-13,7.4030455116,9.7114173189,-1
2008-08-14,6.5979354202,6.9429290955,1
2008-08-15,7.9345016272,7.9584849587,1
2008-08-18,5.7925489139,7.3537548326,-2
2008-08-19,4.3647374647,11.3735519098,-1
2008-08-20,6.1546478757,6.4179574687,1
2008-08-21,7.7265870643,8.2122790404,1
2008-08-22,7.5249472563,10.2396038085,2
2008-08-25,3.2992730895,5.8390297987,-2
2008-08-26,6.621900076,9.4903945545,1
2008-08-27,5.7900215389,8.4552624459,1
2008-08-28,5.330624046,7.4786426722,2
2008-08-29,3.8859378639,6.9561482713,-2
2008-09-02,7.668478263,5.6232749389,-1
2008-09-03,9.0090622995,11.547406519,1
2008-09-04,5.6206349719,6.9804870942,-2
2008-09-05,5.4120542489,6.7077777329,1
2008-09-08,6.0062893589,8.8242181859,2
2008-09-09,4.8050073225,9.0677568891,-2
2008-09-10,9.5715014295,10.9486384679,1
2008-09-11,5.6727758353,7.3426594239,2
2008-09-12,5.3202471345,7.4124149659,0
2008-09-15,9.5659178358,11.9512403896,-2
2008-09-16,9.7708684481,9.8561577222,2
2008-09-17,7.0741051643,9.6189425498,-2
2008-09-18,5.3249499996,5.4272195339,2
2008-09-19,4.0709235329,6.7893499141,2
2008-09-22,5.5058653952,8.1737633325,-2
2008-09-23,5.6463616575,9.6911586743,-2
2008-09-24,4.6328241305,8.5473320185,-1
2008-09-25,8.4170752734,7.4250596001,2
2008-09-26,5.6808090104,6.9689586217,1
2008-09-29,5.6976971089,6.5888313239,-2
2008-09-30,7.028628815,8.8096967736,2
2008-10-01,6.7836741384,9.5554466945,-1
2008-10-02,12.2386506983,13.3085212241,-2
2008-10-03,8.5625433777,7.7698826737,-2
2008-10-06,5.0045483084,6.7028157272,-2
2008-10-07,5.0575746531,7.2569880793,-2
2008-10-08,7.0986178729,6.9701028594,-2
2008-10-09,6.380838259,9.6597578688,-2
2008-10-10,7.7819012676,10.4563308875,-1
2008-10-13,8.3169478607,8.6198133323,2
2008-10-14,8.6872558179,8.3462477257,-1
2008-10-15,9.9318682228,10.7860867699,-2
2008-10-16,5.9837374431,7.8759539072,2
2008-10-17,6.0946862178,6.9420537367,-1
2008-10-20,7.5481437261,9.1355828908,2
2008-10-21,7.5898486614,5.5716308128,-2
2008-10-22,7.2183994197,9.2422723006,-2
2008-10-23,7.0969569367,8.8955090544,2
2008-10-24,10.0704977649,12.4745285527,-2
2008-10-27,12.7412699817,21.968102669,-2
2008-10-28,9.922690199,12.3679766267,2
2008-10-29,5.507419788,8.3187717829,-1
2008-10-30,8.3507343809,10.3016161864,2
2008-10-31,9.4715812155,10.4733214551,2
2008-11-03,5.3043299883,8.0050168284,0
2008-11-04,5.5907568309,11.112426362,2
2008-11-05,6.215906326,9.7320141727,-2
2008-11-06,8.7160872135,10.1679827567,-2
2008-11-07,7.8103737657,9.0604143297,2
2008-11-10,9.242132764,9.4453321414,-1
2008-11-11,6.0264020063,6.896375139,-2
2008-11-12,5.1223762805,9.8551380819,-2
2008-11-13,6.1586102752,10.6205322761,2
2008-11-14,7.9547070528,10.2518541449,-2
2008-11-17,5.6703972185,8.205665143,-2
2008-11-18,5.0861978069,8.511440938,2
2008-11-19,6.6428038012,9.5840351916,-2
2008-11-20,5.1645177916,4.7103274474,-2
2008-11-21,5.8249481583,6.6149807604,2
2008-11-24,7.8740601241,12.5177060654,2
2008-11-25,9.7873435888,10.55925851,1
2008-11-26,5.7922279562,9.7426951938,2
2008-11-28,6.7287390411,7.2752325824,1
2008-12-01,8.3053058382,12.7797553555,-2
2008-12-02,5.9525710028,8.9561706697,2
2008-12-03,10.8420373173,10.9435212878,2
2008-12-04,9.7155283647,13.0112635493,-2
2008-12-05,7.4512021293,10.3422191713,2
2008-12-08,8.7853882739,8.9456345534,2
2008-12-09,6.1170277102,9.8462406364,-2
2008-12-10,8.0719712552,14.6050661283,1
2008-12-11,8.1038456619,10.0284387191,-2
2008-12-12,7.2077110314,14.108780976,1
2008-12-15,5.6898406917,7.8154134156,-1
2008-12-16,5.4864720364,7.8960057832,2
2008-12-17,6.2249119618,8.4364390088,-1
2008-12-18,6.504150375,10.7510384808,-2
2008-12-19,6.9185202817,8.6496501675,-1
2008-12-22,10.6098146851,11.1305249054,-1
2008-12-23,6.6062295054,12.8751735562,-1
2008-12-24,7.3213624038,8.2225862534,1
2008-12-26,5.195002322,6.5093733676,1
2008-12-29,10.1468325668,12.7758169027,-1
2008-12-30,9.4249182245,7.6406302131,2
2008-12-31,10.3224724241,12.4752151679,1
2009-01-02,7.9895139077,10.8360312002,2
2009-01-05,14.9452384149,16.0159511664,-1
2009-01-06,10.7117856704,14.6647036985,1
2009-01-07,8.4077027631,13.6884433193,-2
2009-01-08,10.5910486696,10.3249300013,-1
2009-01-09,6.3548874714,11.0849390274,-1
2009-01-12,11.6284044869,15.2117624656,-1
2009-01-13,7.6382946789,9.7197274228,-1
2009-01-14,7.9743095862,10.3645667417,-2
2009-01-15,7.5143124999,14.6625794053,1
2009-01-16,8.1148208532,10.7876059887,1
2009-01-20,7.998867187,16.2621664886,-2
2009-01-21,8.441722206,14.4175724961,2
2009-01-22,10.7312768218,12.3325338019,-1
2009-01-23,7.7820399227,8.5993421463,-1
2009-01-26,9.6481436579,13.994661181,1
2009-01-27,8.6212837116,12.2177262507,1
2009-01-28,8.6077235746,10.6990747414,2
2009-01-29,9.517190437,8.4098634247,-2
2009-01-30,8.0544169471,11.7384971398,-2
2009-02-02,7.4458959034,10.2276642855,-1
2009-02-03,7.8862830976,11.0353701208,2
2009-02-04,9.4867341436,14.256170294,-1
2009-02-05,9.4981746601,12.6547778776,1
2009-02-06,9.4373747727,10.1842842794,2
2009-02-09,5.9092442923,7.2290836967,0
2009-02-10,8.9448637958,13.577032078,-2
2009-02-11,7.6441739833,11.9278452889,1
2009-02-12,10.9119386238,14.247222439,0
2009-02-13,6.7503378985,10.6478954287,-1
2009-02-17,6.3184079026,11.6500531899,-2
2009-02-18,7.5684177036,8.5223451997,0
2009-02-19,6.1065360599,10.1697026523,-1
2009-02-20,7.2366524233,8.5480421729,-1
2009-02-23,9.3797581099,15.1518620822,-2
2009-02-24,5.7819213183,8.959012353,2
2009-02-25,10.6166814644,14.232749007,-1
2009-02-26,6.8020471173,11.9862149333,-1
2009-02-27,11.2334002607,12.9707648132,-1
2009-03-02,10.995885171,10.8959646768,-2
2009-03-03,6.7184486499,10.3540675615,-1
2009-03-04,7.0867580221,10.8046321366,2
2009-03-05,9.3305784798,11.3615113499,-2
2009-03-06,12.9784281121,13.5410609521,1
2009-03-09,5.954490074,8.648484143,-1
2009-03-10,9.9414120512,10.848267989,2
2009-03-11,7.0579701238,7.143849683,0
2009-03-12,6.67550516,10.1808908208,2
2009-03-13,7.0395610712,9.4668394985,1
2009-03-16,10.2293771407,11.936364349,0
2009-03-17,9.1691580058,15.7945503018,2
2009-03-18,9.0927131753,14.0928743832,1
2009-03-19,5.8827398259,11.391122153,-1
2009-03-20,8.9521939255,11.1028570844,-1
2009-03-23,7.8289217138,9.8284728349,2
2009-03-24,11.9028397115,10.9120773915,-1
2009-03-25,8.8150117484,12.4456257271,1
2009-03-26,7.2256662361,14.18039115,2
2009-03-27,8.4413594771,9.5267254619,-2
2009-03-30,8.7892902438,10.510558922,-2
2009-03-31,9.0761572906,11.6225641429,1
2009-04-01,9.0327742081,10.0540701355,2
2009-04-02,6.385224496,13.6226540057,2
2009-04-03,8.6233521656,12.9983324574,1
2009-04-06,7.0155071464,7.2988709763,-1
2009-04-07,7.7932551546,15.9039238817,-2
2009-04-08,7.1970961495,13.3177878773,1
2009-04-09,9.0714486059,8.6779634058,2
2009-04-13,7.3907141162,9.7318080671,-1
2009-04-14,6.5267785552,9.1774975098,-1
2009-04-15,8.586149321,10.3608075934,1
2009-04-16,5.9885951456,12.1788219735,1
2009-04-17,8.9812787452,8.5779488178,0
2009-04-20,7.0225075509,10.3192620669,-2
2009-04-21,8.030372134,11.3873148912,1
2009-04-22,8.4736378496,8.8268512543,-1
2009-04-23,9.4327912097,13.1064075247,1
2009-04-24,13.5237466567,13.3725895208,1
2009-04-27,17.3173814335,15.1568589727,-1
2009-04-28,11.8024044646,9.1617509635,0
2009-04-29,17.4368771939,12.846931733,2
2009-04-30,11.5948483899,13.592722044,-1
2009-05-01,11.8682475294,12.6696186485,1
2009-05-04,10.4504323044,9.9819719801,2
2009-05-05,12.1480082339,12.0576701726,-1
2009-05-06,8.0567588051,11.0526274004,1
2009-05-07,8.7311317155,12.2638533342,-1
2009-05-08,9.3034209266,10.880538655,2
2009-05-11,10.4880701365,18.2801896008,-2
2009-05-12,10.7110439338,15.200699473,1
2009-05-13,11.2752448924,9.6729051835,-2
2009-05-14,10.7464775264,13.4054393304,1
2009-05-15,10.2005816143,12.80181274,-1
2009-05-18,8.8149966676,7.877008022,2
2009-05-19,7.3695060789,8.1173463034,-1
2009-05-20,11.9725673961,10.6578110353,-1
2009-05-21,9.6994402308,15.2249258092,-1
2009-05-22,7.4478089363,10.9626361799,-1
2009-05-26,8.8743422205,9.9848972246,2
2009-05-27,9.9767492777,13.748650771,-2
2009-05-28,7.9833562745,12.6935520676,1
2009-05-29,10.5510778324,8.7388936762,1
2009-06-01,10.8585187382,15.6661854349,2
2009-06-02,7.2532270207,11.3113252412,1
2009-06-03,10.1809338991,14.1501807803,-1
2009-06-04,8.7065393452,8.5344527001,1
2009-06-05,10.9279239567,10.8320003768,0
2009-06-08,7.3336207986,11.1541615506,0
2009-06-09,9.9718778572,12.6549327151,0
2009-06-10,9.2451863463,14.8641620463,-1
2009-06-11,10.6616901836,10.6887793043,1
2009-06-12,13.3978756879,18.4524635982,1
2009-06-15,7.9881910594,6.1427832767,-2
2009-06-16,8.6075037454,12.8435969011,-1
2009-06-17,9.4298386812,13.5637174163,0
2009-06-18,10.2452226593,10.9625996961,1
2009-06-19,11.5926350367,16.3626345429,-1
2009-06-22,7.4666218344,9.5248666868,-2
2009-06-23,10.2637405649,13.4225901408,-1
2009-06-24,9.0259052824,11.6432638359,-1
2009-06-25,7.7667599437,11.6914791489,2
2009-06-26,14.6004262261,13.0510696411,-1
2009-06-29,9.0061442876,13.2005007432,1
2009-06-30,9.6440653822,11.9756472739,-1
2009-07-01,9.0994137853,12.8821442668,1
2009-07-02,8.4217455077,11.1264890719,-2
2009-07-06,7.3786129769,7.1437041228,1
2009-07-07,6.6281768018,9.7942455244,-2
2009-07-08,11.4423627043,10.714308848,1
2009-07-09,16.5192771183,18.876356075,0
2009-07-10,9.260347308,9.706217138,-1
2009-07-13,11.4989558147,13.2101133276,2
2009-07-14,9.7262777027,12.9322487526,1
2009-07-15,7.506978878,10.9723545899,2
2009-07-16,7.973470225,13.3077424634,1
2009-07-17,11.3904760538,12.4662813208,1
