#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2008-08-08,8.1566056803,11.7235539299,9.1867251829,13.9849347034,2
2008-08-11,7.0652388971,7.96425876,8.6725186362,8.9733046833,1
2008-08-12,7.4030455116,9.7114173189,7.0652388971,7.96425876,-1
2008-08-13,6.5979354202,6.9429290955,7.4030455116,9.7114173189,-1
2008-08-14,7.9345016272,7.9584849587,6.5979354202,6.9429290955,1
2008-08-15,7.9211265466,11.9451674164,7.9345016272,7.9584849587,1
2008-08-18,4.3647374647,11.3735519098,5.7925489139,7.3537548326,-2
2008-08-19,6.1546478757,6.4179574687,4.3647374647,11.3735519098,-1
2008-08-20,7.7265870643,8.2122790404,6.1546478757,6.4179574687,1
2008-08-21,7.5249472563,10.2396038085,7.7265870643,8.2122790404,1
2008-08-22,8.5135067065,9.3047730325,7.5249472563,10.2396038085,2
2008-08-25,6.621900076,9.4903945545,3.2992730895,5.8390297987,-2
2008-08-26,5.7900215389,8.4552624459,6.621900076,9.4903945545,1
2008-08-27,5.330624046,7.4786426722,5.7900215389,8.4552624459,1
2008-08-28,3.8859378639,6.9561482713,5.330624046,7.4786426722,2
2008-08-29,5.1524376284,7.40593593,3.8859378639,6.9561482713,-2
2008-09-02,9.0090622995,11.547406519,7.668478263,5.6232749389,-1
2008-09-03,5.6206349719,6.9804870942,9.0090622995,11.547406519,1
2008-09-04,5.4120542489,6.7077777329,5.6206349719,6.9804870942,-2
2008-09-05,10.0442164965,8.8013351547,5.4120542489,6.7077777329,1
2008-09-08,4.8050073225,9.0677568891,6.0062893589,8.8242181859,2
2008-09-09,9.5715014295,10.9486384679,4.8050073225,9.0677568891,-2
2008-09-10,5.6727758353,7.3426594239,9.5715014295,10.9486384679,1
2008-09-11,5.3202471345,7.4124149659,5.6727758353,7.3426594239,2
2008-09-12,9.1778517079,11.5314177545,5.3202471345,7.4124149659,0
2008-09-15,9.7708684481,9.8561577222,9.5659178358,11.9512403896,-2
2008-09-16,7.0741051643,9.6189425498,9.7708684481,9.8561577222,2
2008-09-17,5.3249499996,5.4272195339,7.0741051643,9.6189425498,-2
2008-09-18,4.0709235329,6.7893499141,5.3249499996,5.4272195339,2
2008-09-19,6.2719270183,7.0805656244,4.0709235329,6.7893499141,2
2008-09-22,5.6463616575,9.6911586743,5.5058653952,8.1737633325,-2
2008-09-23,4.6328241305,8.5473320185,5.6463616575,9.6911586743,-2
2008-09-24,8.4170752734,7.4250596001,4.6328241305,8.5473320185,-1
2008-09-25,5.6808090104,6.9689586217,8.4170752734,7.4250596001,2
2008-09-26,4.26863351,8.5827644674,5.6808090104,6.9689586217,1
2008-09-29,7.028628815,8.8096967736,5.6976971089,6.5888313239,-2
2008-09-30,6.7836741384,9.5554466945,7.028628815,8.8096967736,2
2008-10-01,12.2386506983,13.3085212241,6.7836741384,9.5554466945,-1
2008-10-02,8.5625433777,7.7698826737,12.2386506983,13.3085212241,-2
2008-10-03,9.8057627649,10.9184388187,8.5625433777,7.7698826737,-2
2008-10-06,5.0575746531,7.2569880793,5.0045483084,6.7028157272,-2
2008-10-07,7.0986178729,6.9701028594,5.0575746531,7.2569880793,-2
2008-10-08,6.380838259,9.6597578688,7.0986178729,6.9701028594,-2
2008-10-09,7.7819012676,10.4563308875,6.380838259,9.6597578688,-2
2008-10-10,6.8283015578,8.9862088511,7.7819012676,10.4563308875,-1
2008-10-13,8.6872558179,8.3462477257,8.3169478607,8.6198133323,2
2008-10-14,9.9318682228,10.7860867699,8.6872558179,8.3462477257,-1
2008-10-15,5.9837374431,7.8759539072,9.9318682228,10.7860867699,-2
2008-10-16,6.0946862178,6.9420537367,5.9837374431,7.8759539072,2
2008-10-17,10.0231195223,8.7569915745,6.0946862178,6.9420537367,-1
2008-10-20,7.5898486614,5.5716308128,7.5481437261,9.1355828908,2
2008-10-21,7.2183994197,9.2422723006,7.5898486614,5.5716308128,-2
2008-10-22,7.0969569367,8.8955090544,7.2183994197,9.2422723006,-2
2008-10-23,10.0704977649,12.4745285527,7.0969569367,8.8955090544,2
2008-10-24,7.9287188478,9.4116431424,10.0704977649,12.4745285527,-2
2008-10-27,9.922690199,12.3679766267,12.7412699817,21.968102669,-2
2008-10-28,5.507419788,8.3187717829,9.922690199,12.3679766267,2
2008-10-29,8.3507343809,10.3016161864,5.507419788,8.3187717829,-1
2008-10-30,9.4715812155,10.4733214551,8.3507343809,10.3016161864,2
2008-10-31,5.9445325508,7.6381089703,9.4715812155,10.4733214551,2
2008-11-03,5.5907568309,11.112426362,5.3043299883,8.0050168284,0
2008-11-04,6.215906326,9.7320141727,5.5907568309,11.112426362,2
2008-11-05,8.7160872135,10.1679827567,6.215906326,9.7320141727,-2
2008-11-06,7.8103737657,9.0604143297,8.7160872135,10.1679827567,-2
2008-11-07,5.3054490869,7.5272589185,7.8103737657,9.0604143297,2
2008-11-10,6.0264020063,6.896375139,9.242132764,9.4453321414,-1
2008-11-11,5.1223762805,9.8551380819,6.0264020063,6.896375139,-2
2008-11-12,6.1586102752,10.6205322761,5.1223762805,9.8551380819,-2
2008-11-13,7.9547070528,10.2518541449,6.1586102752,10.6205322761,2
2008-11-14,7.1034799225,10.3938839338,7.9547070528,10.2518541449,-2
2008-11-17,5.0861978069,8.511440938,5.6703972185,8.205665143,-2
2008-11-18,6.6428038012,9.5840351916,5.0861978069,8.511440938,2
2008-11-19,5.1645177916,4.7103274474,6.6428038012,9.5840351916,-2
2008-11-20,5.8249481583,6.6149807604,5.1645177916,4.7103274474,-2
2008-11-21,7.8039862247,9.6222385953,5.8249481583,6.6149807604,2
2008-11-24,9.7873435888,10.55925851,7.8740601241,12.5177060654,2
2008-11-25,5.7922279562,9.7426951938,9.7873435888,10.55925851,1
2008-11-26,3.6230397435,6.8066589456,5.7922279562,9.7426951938,2
2008-11-28,7.5774298889,15.1202403626,6.7287390411,7.2752325824,1
2008-12-01,5.9525710028,8.9561706697,8.3053058382,12.7797553555,-2
2008-12-02,10.8420373173,10.9435212878,5.9525710028,8.9561706697,2
2008-12-03,9.7155283647,13.0112635493,10.8420373173,10.9435212878,2
2008-12-04,7.4512021293,10.3422191713,9.7155283647,13.0112635493,-2
2008-12-05,8.0842246918,8.7567010512,7.4512021293,10.3422191713,2
2008-12-08,6.1170277102,9.8462406364,8.7853882739,8.9456345534,2
2008-12-09,8.0719712552,14.6050661283,6.1170277102,9.8462406364,-2
2008-12-10,8.1038456619,10.0284387191,8.0719712552,14.6050661283,1
2008-12-11,7.2077110314,14.108780976,8.1038456619,10.0284387191,-2
2008-12-12,5.5074029014,10.6119605476,7.2077110314,14.108780976,1
2008-12-15,5.4864720364,7.8960057832,5.6898406917,7.8154134156,-1
2008-12-16,6.2249119618,8.4364390088,5.4864720364,7.8960057832,2
2008-12-17,6.504150375,10.7510384808,6.2249119618,8.4364390088,-1
2008-12-18,6.9185202817,8.6496501675,6.504150375,10.7510384808,-2
2008-12-19,7.5087040025,9.7797265985,6.9185202817,8.6496501675,-1
2008-12-22,6.6062295054,12.8751735562,10.6098146851,11.1305249054,-1
2008-12-23,7.3213624038,8.2225862534,6.6062295054,12.8751735562,-1
2008-12-24,7.5697501324,5.8715519735,7.3213624038,8.2225862534,1
2008-12-26,7.1653757914,11.9169193444,5.195002322,6.5093733676,1
2008-12-29,9.4249182245,7.6406302131,10.1468325668,12.7758169027,-1
2008-12-30,10.3224724241,12.4752151679,9.4249182245,7.6406302131,2
2008-12-31,8.9934845144,13.0337482228,10.3224724241,12.4752151679,1
2009-01-02,5.9951870934,7.0170775971,7.9895139077,10.8360312002,2
2009-01-05,10.7117856704,14.6647036985,14.9452384149,16.0159511664,-1
2009-01-06,8.4077027631,13.6884433193,10.7117856704,14.6647036985,1
2009-01-07,10.5910486696,10.3249300013,8.4077027631,13.6884433193,-2
2009-01-08,6.3548874714,11.0849390274,10.5910486696,10.3249300013,-1
2009-01-09,6.1523472281,9.0563078397,6.3548874714,11.0849390274,-1
2009-01-12,7.6382946789,9.7197274228,11.6284044869,15.2117624656,-1
2009-01-13,7.9743095862,10.3645667417,7.6382946789,9.7197274228,-1
2009-01-14,7.5143124999,14.6625794053,7.9743095862,10.3645667417,-2
2009-01-15,8.1148208532,10.7876059887,7.5143124999,14.6625794053,1
2009-01-16,9.1281117099,11.277776304,8.1148208532,10.7876059887,1
2009-01-20,8.441722206,14.4175724961,7.998867187,16.2621664886,-2
2009-01-21,10.7312768218,12.3325338019,8.441722206,14.4175724961,2
2009-01-22,7.7820399227,8.5993421463,10.7312768218,12.3325338019,-1
2009-01-23,7.6472421241,9.0199872367,7.7820399227,8.5993421463,-1
2009-01-26,8.6212837116,12.2177262507,9.6481436579,13.994661181,1
2009-01-27,8.6077235746,10.6990747414,8.6212837116,12.2177262507,1
2009-01-28,9.517190437,8.4098634247,8.6077235746,10.6990747414,2
2009-01-29,8.0544169471,11.7384971398,9.517190437,8.4098634247,-2
2009-01-30,6.8195321427,8.6326617813,8.0544169471,11.7384971398,-2
2009-02-02,7.8862830976,11.0353701208,7.4458959034,10.2276642855,-1
2009-02-03,9.4867341436,14.256170294,7.8862830976,11.0353701208,2
2009-02-04,9.4981746601,12.6547778776,9.4867341436,14.256170294,-1
2009-02-05,9.4373747727,10.1842842794,9.4981746601,12.6547778776,1
2009-02-06,8.6563692842,12.6622730688,9.4373747727,10.1842842794,2
2009-02-09,8.9448637958,13.577032078,5.9092442923,7.2290836967,0
2009-02-10,7.6441739833,11.9278452889,8.9448637958,13.577032078,-2
2009-02-11,10.9119386238,14.247222439,7.6441739833,11.9278452889,1
2009-02-12,6.7503378985,10.6478954287,10.9119386238,14.247222439,0
2009-02-13,7.1771045971,10.8142998703,6.7503378985,10.6478954287,-1
2009-02-17,7.5684177036,8.5223451997,6.3184079026,11.6500531899,-2
