#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2008-08-08,-1.488,18.821,29.204,5.929,6.625,45.853,-0.137,10.934,37.532,42.746,2
2008-08-11,2.926,11.173,24.026,8.159,5.218,37.078,-1.662,18.981,35.371,36.577,1
2008-08-12,4.525,12.802,21.03,7.66,7.991,2.926,11.173,24.026,8.159,5.218,-1
2008-08-13,8.572,15.59,15.51,22.395,19.892,4.525,12.802,21.03,7.66,7.991,-1
2008-08-14,4.479,-1.087,14.887,14.92,9.1,8.572,15.59,15.51,22.395,19.892,1
2008-08-15,23.34,-1.833,10.394,47.186,33.624,4.479,-1.087,14.887,14.92,9.1,1
2008-08-18,-4.812,14.814,9.948,21.081,11.371,6.148,1.106,20.436,10.701,7.691,-2
2008-08-19,12.853,-2.591,3.001,9.451,11.01,-4.812,14.814,9.948,21.081,11.371,-1
2008-08-20,24.627,15.469,21.46,38.57,31.856,12.853,-2.591,3.001,9.451,11.01,1
2008-08-21,6.44,6.211,16.933,18,12.913,24.627,15.469,21.46,38.57,31.856,1
2008-08-22,15.493,15.167,17.894,30.562,23.708,6.44,6.211,16.933,18,12.913,2
2008-08-25,2.898,10.892,6.938,12.006,10.32,-12.569,23.473,12.926,9.562,1.224,-2
2008-08-26,20.972,5.804,14.429,20.698,16.57,2.898,10.892,6.938,12.006,10.32,1
2008-08-27,6.767,5.628,18.471,24.69,19.35,20.972,5.804,14.429,20.698,16.57,1
2008-08-28,14.471,14.811,28.099,5.94,14.657,6.767,5.628,18.471,24.69,19.35,2
2008-08-29,-1.728,6.714,30.774,15.583,8.973,14.471,14.811,28.099,5.94,14.657,-2
2008-09-02,5.297,4.459,4.751,15.946,13.918,5.982,16.136,10.721,33.436,21.447,-1
2008-09-03,21.287,4.255,14.473,27.485,24.122,5.297,4.459,4.751,15.946,13.918,1
2008-09-04,18.051,10.523,22.762,28.636,21.168,21.287,4.255,14.473,27.485,24.122,-2
2008-09-05,6.216,12.96,11.02,11.912,9.16,18.051,10.523,22.762,28.636,21.168,1
2008-09-08,6.334,15.781,25.992,-0.076,6.06,15.812,4.83,15.719,34.16,26.045,2
2008-09-09,-0.772,21.555,20.228,5.789,2.012,6.334,15.781,25.992,-0.076,6.06,-2
2008-09-10,14.959,10.491,12.638,17.075,17.289,-0.772,21.555,20.228,5.789,2.012,1
2008-09-11,17.294,9.229,10.651,35.979,27.122,14.959,10.491,12.638,17.075,17.289,2
2008-09-12,1.699,20.368,25.924,32.69,21.75,17.294,9.229,10.651,35.979,27.122,0
