#Date,news positivity,news negativity,stock change
2008-08-08,8.1566056803,11.7235539299,2
2008-08-11,7.0652388971,7.96425876,1
2008-08-12,7.4030455116,9.7114173189,-1
2008-08-13,6.5979354202,6.9429290955,-1
2008-08-14,7.9345016272,7.9584849587,1
2008-08-15,7.9211265466,11.9451674164,1
2008-08-18,4.3647374647,11.3735519098,-2
2008-08-19,6.1546478757,6.4179574687,-1
2008-08-20,7.7265870643,8.2122790404,1
2008-08-21,7.5249472563,10.2396038085,1
2008-08-22,8.5135067065,9.3047730325,2
2008-08-25,6.621900076,9.4903945545,-2
2008-08-26,5.7900215389,8.4552624459,1
2008-08-27,5.330624046,7.4786426722,1
2008-08-28,3.8859378639,6.9561482713,2
2008-08-29,5.1524376284,7.40593593,-2
2008-09-02,9.0090622995,11.547406519,-1
2008-09-03,5.6206349719,6.9804870942,1
2008-09-04,5.4120542489,6.7077777329,-2
2008-09-05,10.0442164965,8.8013351547,1
2008-09-08,4.8050073225,9.0677568891,2
2008-09-09,9.5715014295,10.9486384679,-2
2008-09-10,5.6727758353,7.3426594239,1
2008-09-11,5.3202471345,7.4124149659,2
2008-09-12,9.1778517079,11.5314177545,0
2008-09-15,9.7708684481,9.8561577222,-2
2008-09-16,7.0741051643,9.6189425498,2
2008-09-17,5.3249499996,5.4272195339,-2
2008-09-18,4.0709235329,6.7893499141,2
2008-09-19,6.2719270183,7.0805656244,2
2008-09-22,5.6463616575,9.6911586743,-2
2008-09-23,4.6328241305,8.5473320185,-2
2008-09-24,8.4170752734,7.4250596001,-1
2008-09-25,5.6808090104,6.9689586217,2
2008-09-26,4.26863351,8.5827644674,1
2008-09-29,7.028628815,8.8096967736,-2
2008-09-30,6.7836741384,9.5554466945,2
2008-10-01,12.2386506983,13.3085212241,-1
2008-10-02,8.5625433777,7.7698826737,-2
2008-10-03,9.8057627649,10.9184388187,-2
2008-10-06,5.0575746531,7.2569880793,-2
2008-10-07,7.0986178729,6.9701028594,-2
2008-10-08,6.380838259,9.6597578688,-2
2008-10-09,7.7819012676,10.4563308875,-2
2008-10-10,6.8283015578,8.9862088511,-1
2008-10-13,8.6872558179,8.3462477257,2
2008-10-14,9.9318682228,10.7860867699,-1
2008-10-15,5.9837374431,7.8759539072,-2
2008-10-16,6.0946862178,6.9420537367,2
2008-10-17,10.0231195223,8.7569915745,-1
2008-10-20,7.5898486614,5.5716308128,2
2008-10-21,7.2183994197,9.2422723006,-2
2008-10-22,7.0969569367,8.8955090544,-2
2008-10-23,10.0704977649,12.4745285527,2
2008-10-24,7.9287188478,9.4116431424,-2
2008-10-27,9.922690199,12.3679766267,-2
2008-10-28,5.507419788,8.3187717829,2
2008-10-29,8.3507343809,10.3016161864,-1
2008-10-30,9.4715812155,10.4733214551,2
2008-10-31,5.9445325508,7.6381089703,2
2008-11-03,5.5907568309,11.112426362,0
2008-11-04,6.215906326,9.7320141727,2
2008-11-05,8.7160872135,10.1679827567,-2
2008-11-06,7.8103737657,9.0604143297,-2
2008-11-07,5.3054490869,7.5272589185,2
2008-11-10,6.0264020063,6.896375139,-1
2008-11-11,5.1223762805,9.8551380819,-2
2008-11-12,6.1586102752,10.6205322761,-2
2008-11-13,7.9547070528,10.2518541449,2
2008-11-14,7.1034799225,10.3938839338,-2
2008-11-17,5.0861978069,8.511440938,-2
2008-11-18,6.6428038012,9.5840351916,2
2008-11-19,5.1645177916,4.7103274474,-2
2008-11-20,5.8249481583,6.6149807604,-2
2008-11-21,7.8039862247,9.6222385953,2
2008-11-24,9.7873435888,10.55925851,2
2008-11-25,5.7922279562,9.7426951938,1
