#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,Label
2008-08-08,-1.488,18.821,29.204,5.929,6.625,0
2008-08-11,2.147,11.929,24.026,7.633,4.531,1
2008-08-12,4.525,12.802,21.03,7.66,7.991,0
2008-08-13,8.572,15.59,15.51,22.395,19.892,0
2008-08-14,4.479,-1.087,14.887,14.92,9.1,1
2008-08-15,24.571,-1.982,9.92,47.66,34.411,1
2008-08-18,-4.812,14.814,9.948,21.081,11.371,0
2008-08-19,13.246,-2.74,3.167,9.389,11.126,0
2008-08-20,24.627,15.469,21.46,38.57,31.856,1
2008-08-21,6.44,6.211,16.933,18,12.913,1
2008-08-22,15.493,15.167,17.894,30.562,23.708,1
2008-08-25,3.291,10.743,7.104,11.944,10.436,0
2008-08-26,20.726,5.983,14.148,20.698,16.454,1
2008-08-27,6.767,5.628,18.471,24.69,19.35,1
2008-08-28,14.471,14.811,28.099,5.94,14.657,1
2008-08-29,-1.728,6.714,30.774,15.583,8.973,0
2008-09-02,5.106,4.298,4.979,15.681,13.788,0
2008-09-03,21.287,4.255,14.473,27.485,24.122,1
2008-09-04,18.051,10.523,22.762,28.636,21.168,0
2008-09-05,5.437,13.716,11.02,11.386,8.473,1
2008-09-08,7.12,15.556,26.208,-0.079,6.347,1
2008-09-09,-0.379,21.406,20.394,5.727,2.128,0
2008-09-10,14.959,10.491,12.638,17.075,17.289,1
2008-09-11,16.417,10.076,10.584,35.361,26.38,1
2008-09-12,2.092,20.219,26.09,32.628,21.866,0
2008-09-15,2.609,7.804,24.738,13.836,9.868,0
2008-09-16,2.683,3.748,39.317,-5.171,-1.85,1
2008-09-17,4.553,17.968,4.607,0.758,1.227,0
2008-09-18,-5.771,15.981,15.379,0.805,1.683,1
2008-09-19,17.325,7.203,19.86,25.471,23.306,1
2008-09-22,0.454,0.206,23.142,12.362,6.759,0
2008-09-23,8.094,9.071,19.197,21.017,19.129,0
2008-09-24,11.418,-26.646,24.134,21.81,18.372,0
2008-09-25,-10.789,11.328,17.355,-10.313,-7.594,1
2008-09-26,26.513,21.457,18.24,27.173,30.161,1
2008-09-29,3.034,8.601,3.273,19.302,11.248,0
2008-09-30,12.411,21.821,12.558,5.564,9.303,1
