#Date,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2008-08-08,45.853,-0.137,10.934,37.532,42.746,2
2008-08-11,37.078,-1.662,18.981,35.371,36.577,1
2008-08-12,2.926,11.173,24.026,8.159,5.218,-1
2008-08-13,4.525,12.802,21.03,7.66,7.991,-1
2008-08-14,8.572,15.59,15.51,22.395,19.892,1
2008-08-15,4.479,-1.087,14.887,14.92,9.1,1
2008-08-18,6.148,1.106,20.436,10.701,7.691,-2
2008-08-19,-4.812,14.814,9.948,21.081,11.371,-1
2008-08-20,12.853,-2.591,3.001,9.451,11.01,1
2008-08-21,24.627,15.469,21.46,38.57,31.856,0
2008-08-22,6.44,6.211,16.933,18,12.913,2
2008-08-25,-12.569,23.473,12.926,9.562,1.224,-2
2008-08-26,2.898,10.892,6.938,12.006,10.32,0
2008-08-27,20.972,5.804,14.429,20.698,16.57,1
2008-08-28,6.767,5.628,18.471,24.69,19.35,2
2008-08-29,14.471,14.811,28.099,5.94,14.657,-2
2008-09-02,5.982,16.136,10.721,33.436,21.447,0
2008-09-03,5.297,4.459,4.751,15.946,13.918,0
2008-09-04,21.287,4.255,14.473,27.485,24.122,-2
2008-09-05,18.051,10.523,22.762,28.636,21.168,1
2008-09-08,15.812,4.83,15.719,34.16,26.045,2
2008-09-09,6.334,15.781,25.992,-0.076,6.06,-2
2008-09-10,-0.772,21.555,20.228,5.789,2.012,0
2008-09-11,14.959,10.491,12.638,17.075,17.289,2
2008-09-12,17.294,9.229,10.651,35.979,27.122,0
2008-09-15,8.073,14.254,10.998,42.29,25.318,-2
2008-09-16,3.336,8.488,24.638,14.426,10.502,2
2008-09-17,3.455,2.534,38.985,-3.995,-0.708,-2
2008-09-18,3.345,18.202,4.917,0.195,0.47,2
2008-09-19,-5.771,15.981,15.379,0.805,1.683,2
2008-09-22,-1.667,7.762,8.154,20.547,11.452,-2
2008-09-23,0.454,0.206,23.142,12.362,6.759,-2
2008-09-24,6.223,7.294,19.197,21.017,17.913,0
2008-09-25,11.418,-26.646,23.406,20.935,17.838,2
2008-09-26,-9.561,11.149,18.366,-10.251,-6.887,1
2008-09-29,18.509,16.284,12.952,26.247,22.284,-2
2008-09-30,3.937,8.601,2.744,20.144,12.006,2
2008-10-01,12.018,21.97,12.392,5.626,9.187,0
2008-10-02,6.638,14.711,26.505,6.765,7.019,-2
2008-10-03,30.679,1.925,9.44,40.63,37.458,-2
2008-10-06,9.153,27.252,15.315,13.791,13.073,-2
2008-10-07,19.834,9.941,14.51,26.67,25.84,-2
2008-10-08,20.053,14.141,22.396,17.173,22.53,-2
2008-10-09,23.055,17.226,28.098,46.53,35.584,-2
2008-10-10,13.675,-0.922,8.899,15.926,16.825,-1
2008-10-13,2.599,28.443,17.979,6.274,2.339,2
2008-10-14,31.493,-8.028,17.824,32.032,31.569,-1
2008-10-15,29.475,-1.304,29.566,33.183,28.874,-2
2008-10-16,21.116,6.711,18.159,33.247,26.659,2
2008-10-17,8.647,16.198,16.783,22.878,16.016,-1
2008-10-20,5.155,16.848,13.213,18.472,17.586,2
2008-10-21,24.624,7.936,1.765,40.766,34.764,-2
2008-10-22,19.548,10.643,-0.425,38.795,31.074,-2
2008-10-23,11.041,3.387,28.836,38.441,23.627,2
2008-10-24,-2.577,14.992,23.875,20.419,8.666,-2
2008-10-27,15.005,22.882,28.115,26.117,19.5,-2
2008-10-28,1.155,16.229,15.319,13.001,8.662,2
2008-10-29,3.943,13.513,11.147,6.608,4.98,-1
2008-10-30,14.84,7.295,8.405,31.008,22.787,2
2008-10-31,-1.541,6.473,12.585,-2.481,-0.864,2
2008-11-03,18.579,28.707,21.277,23.703,24.487,0
2008-11-04,9.612,-4.016,22.593,16.168,13.925,2
2008-11-05,16.485,25.598,25.326,13.375,17.112,-2
2008-11-06,31.449,11.549,20.977,45.083,36.425,-2
2008-11-07,9.179,8.896,18.511,31.258,24.974,2
2008-11-10,-1.792,3.132,21.61,11.101,7.209,-1
2008-11-11,6.903,10.088,17.674,12.498,8.372,-2
2008-11-12,20.244,19.008,12.919,17.911,15.438,-2
2008-11-13,-12.948,11.1,29.896,0.542,-7.745,2
2008-11-14,7.49,22.814,23.989,23.056,15.346,-2
2008-11-17,3.009,4.603,22.994,12.468,9.976,-2
2008-11-18,17.171,13.705,15.501,22.358,20.378,2
2008-11-19,20.337,6.273,9.717,35.959,32.643,-2
2008-11-20,35.375,6.959,17.246,34.392,33.767,-2
